2026-03-17T19:38:02.702103 | frame=2 | x=323 y=219 | area=1061
2026-03-17T19:38:03.206868 | frame=2 | x=323 y=219 | area=1061
2026-03-17T19:38:03.735431 | frame=3 | x=474 y=331 | area=2330
2026-03-17T19:38:04.240782 | frame=3 | x=474 y=331 | area=2330
2026-03-17T19:38:04.766335 | frame=4 | x=404 y=220 | area=1764
2026-03-17T19:38:05.271577 | frame=4 | x=404 y=220 | area=1764
2026-03-17T19:38:05.798897 | frame=5 | x=478 y=328 | area=1416
2026-03-17T19:38:06.304300 | frame=5 | x=478 y=328 | area=1416
2026-03-17T19:38:06.828774 | frame=15 | x=406 y=239 | area=2460
2026-03-17T19:38:07.330600 | frame=15 | x=406 y=239 | area=2460
2026-03-17T19:38:07.856358 | frame=22 | x=401 y=239 | area=7015
2026-03-17T19:38:08.359991 | frame=22 | x=401 y=239 | area=7015
2026-03-17T19:38:08.886653 | frame=23 | x=479 y=270 | area=6971
2026-03-17T19:38:09.388005 | frame=23 | x=479 y=270 | area=6971
2026-03-17T19:38:09.913232 | frame=24 | x=403 y=232 | area=6812
2026-03-17T19:38:10.419602 | frame=24 | x=403 y=232 | area=6812
2026-03-17T19:38:10.945514 | frame=25 | x=326 y=302 | area=6556
2026-03-17T19:38:11.452054 | frame=25 | x=326 y=302 | area=6556
2026-03-17T19:38:11.979753 | frame=26 | x=323 y=256 | area=6241
2026-03-17T19:38:12.481494 | frame=26 | x=323 y=256 | area=6241
2026-03-17T19:38:13.010316 | frame=27 | x=446 y=334 | area=5967
2026-03-17T19:38:13.511774 | frame=27 | x=446 y=334 | area=5967
2026-03-17T19:38:14.034569 | frame=39 | x=483 y=306 | area=2657
2026-03-17T19:38:14.538621 | frame=39 | x=483 y=306 | area=2657
2026-03-17T19:38:15.064862 | frame=54 | x=491 y=351 | area=8936
2026-03-17T19:38:15.568365 | frame=54 | x=491 y=351 | area=8936
2026-03-17T19:38:16.097190 | frame=70 | x=481 y=341 | area=3325
2026-03-17T19:38:16.597902 | frame=70 | x=481 y=341 | area=3325
2026-03-17T19:38:17.126479 | frame=89 | x=480 y=340 | area=2915
2026-03-17T19:38:17.631968 | frame=89 | x=480 y=340 | area=2915
2026-03-17T19:38:18.157615 | frame=105 | x=479 y=332 | area=2574
2026-03-17T19:38:18.663343 | frame=105 | x=479 y=332 | area=2574
2026-03-17T19:38:19.193336 | frame=120 | x=482 y=341 | area=2267
2026-03-17T19:38:19.698160 | frame=120 | x=482 y=341 | area=2267
2026-03-17T19:38:20.225488 | frame=15 | x=479 y=334 | area=1955
2026-03-17T19:38:20.727889 | frame=15 | x=479 y=334 | area=1955
2026-03-17T19:38:21.254894 | frame=30 | x=453 y=334 | area=1966
2026-03-17T19:38:21.759879 | frame=30 | x=453 y=334 | area=1966
2026-03-17T19:38:22.284315 | frame=31 | x=468 y=233 | area=1857
2026-03-17T19:38:22.789559 | frame=31 | x=468 y=233 | area=1857
2026-03-17T19:38:23.316464 | frame=32 | x=484 y=351 | area=1671
2026-03-17T19:38:23.817917 | frame=32 | x=484 y=351 | area=1671
2026-03-17T19:38:24.341946 | frame=33 | x=484 y=334 | area=2026
2026-03-17T19:38:24.843678 | frame=33 | x=484 y=334 | area=2026
2026-03-17T19:38:25.373510 | frame=34 | x=483 y=351 | area=2094
2026-03-17T19:38:25.876685 | frame=34 | x=483 y=351 | area=2094
2026-03-17T19:38:26.403454 | frame=35 | x=482 y=334 | area=2112
2026-03-17T19:38:26.904225 | frame=35 | x=482 y=334 | area=2112
2026-03-17T19:38:27.429509 | frame=38 | x=481 y=338 | area=1988
2026-03-17T19:38:27.930904 | frame=38 | x=481 y=338 | area=1988
2026-03-17T19:38:28.457975 | frame=53 | x=319 y=239 | area=86691
2026-03-17T19:38:28.959973 | frame=53 | x=319 y=239 | area=86691
2026-03-17T19:38:29.483976 | frame=69 | x=319 y=239 | area=84035
2026-03-17T19:38:29.985397 | frame=69 | x=319 y=239 | area=84035
2026-03-17T19:38:30.511709 | frame=48 | x=319 y=239 | area=132217
2026-03-17T19:38:31.013949 | frame=48 | x=319 y=239 | area=132217
2026-03-17T19:38:31.540048 | frame=63 | x=319 y=239 | area=83530
2026-03-17T19:38:32.042732 | frame=63 | x=319 y=239 | area=83530
2026-03-17T19:38:32.569755 | frame=79 | x=319 y=239 | area=83059
2026-03-17T19:38:33.074876 | frame=79 | x=319 y=239 | area=83059
2026-03-17T19:38:33.600299 | frame=94 | x=319 y=239 | area=83458
2026-03-17T19:38:34.105879 | frame=94 | x=319 y=239 | area=83458
2026-03-17T19:38:34.631918 | frame=110 | x=319 y=239 | area=85422
2026-03-17T19:38:35.135000 | frame=110 | x=319 y=239 | area=85422
2026-03-17T19:38:35.665586 | frame=4 | x=319 y=239 | area=82661
2026-03-17T19:38:36.168749 | frame=4 | x=319 y=239 | area=82661
2026-03-17T19:38:36.697561 | frame=20 | x=319 y=239 | area=82736
2026-03-17T19:38:37.203178 | frame=20 | x=319 y=239 | area=82736
2026-03-17T19:38:37.728094 | frame=35 | x=319 y=239 | area=83589
2026-03-17T19:38:38.233447 | frame=35 | x=319 y=239 | area=83589
2026-03-17T19:38:38.763578 | frame=51 | x=319 y=239 | area=88038
2026-03-17T19:38:39.266132 | frame=51 | x=319 y=239 | area=88038
2026-03-17T19:38:39.794065 | frame=66 | x=319 y=239 | area=75020
2026-03-17T19:38:40.299708 | frame=66 | x=319 y=239 | area=75020
2026-03-17T19:38:40.826038 | frame=82 | x=319 y=239 | area=69979
2026-03-17T19:38:41.331036 | frame=82 | x=319 y=239 | area=69979
2026-03-17T19:38:41.854824 | frame=97 | x=319 y=239 | area=72640
2026-03-17T19:38:42.360387 | frame=97 | x=319 y=239 | area=72640
2026-03-17T19:38:42.887111 | frame=113 | x=319 y=239 | area=80048
2026-03-17T19:38:43.389300 | frame=113 | x=319 y=239 | area=80048
2026-03-17T19:38:43.912735 | frame=7 | x=319 y=239 | area=86106
2026-03-17T19:38:44.418197 | frame=7 | x=319 y=239 | area=86106
2026-03-17T19:38:44.940151 | frame=22 | x=319 y=239 | area=85276
2026-03-17T19:38:45.445607 | frame=22 | x=319 y=239 | area=85276
2026-03-17T19:38:45.969216 | frame=38 | x=319 y=239 | area=85432
2026-03-17T19:38:46.474795 | frame=38 | x=319 y=239 | area=85432
2026-03-17T19:38:47.001646 | frame=53 | x=319 y=239 | area=88686
2026-03-17T19:38:47.506634 | frame=53 | x=319 y=239 | area=88686
2026-03-17T19:38:48.032258 | frame=69 | x=319 y=239 | area=87703
2026-03-17T19:38:48.537059 | frame=69 | x=319 y=239 | area=87703
2026-03-17T19:38:49.059867 | frame=84 | x=319 y=239 | area=87999
2026-03-17T19:38:49.564912 | frame=84 | x=319 y=239 | area=87999
2026-03-17T19:38:50.091482 | frame=99 | x=319 y=239 | area=88307
2026-03-17T19:38:50.594740 | frame=99 | x=319 y=239 | area=88307
2026-03-17T19:38:51.123028 | frame=115 | x=319 y=239 | area=86513
2026-03-17T19:38:51.628429 | frame=115 | x=319 y=239 | area=86513
2026-03-17T19:38:52.155407 | frame=9 | x=319 y=239 | area=85527
2026-03-17T19:38:52.656083 | frame=9 | x=319 y=239 | area=85527
2026-03-17T19:38:53.180582 | frame=25 | x=319 y=239 | area=89888
2026-03-17T19:38:53.685972 | frame=25 | x=319 y=239 | area=89888
2026-03-17T19:38:54.211645 | frame=40 | x=319 y=239 | area=90618
2026-03-17T19:38:54.712381 | frame=40 | x=319 y=239 | area=90618
2026-03-17T19:38:55.239139 | frame=56 | x=319 y=239 | area=85409
2026-03-17T19:38:55.743889 | frame=56 | x=319 y=239 | area=85409
2026-03-17T19:38:56.273420 | frame=71 | x=319 y=239 | area=83067
2026-03-17T19:38:56.778399 | frame=71 | x=319 y=239 | area=83067
2026-03-17T19:38:57.309093 | frame=87 | x=319 y=239 | area=86029
2026-03-17T19:38:57.810133 | frame=87 | x=319 y=239 | area=86029
2026-03-17T19:38:58.339183 | frame=102 | x=319 y=239 | area=84425
2026-03-17T19:38:58.840323 | frame=102 | x=319 y=239 | area=84425
2026-03-17T19:38:59.366434 | frame=118 | x=319 y=239 | area=83860
2026-03-17T19:38:59.867704 | frame=118 | x=319 y=239 | area=83860
2026-03-17T19:39:00.396141 | frame=12 | x=319 y=239 | area=84370
2026-03-17T19:39:00.900781 | frame=12 | x=319 y=239 | area=84370
2026-03-17T19:39:01.425818 | frame=27 | x=319 y=239 | area=80901
2026-03-17T19:39:01.931086 | frame=27 | x=319 y=239 | area=80901
2026-03-17T19:39:02.457175 | frame=43 | x=319 y=239 | area=85964
2026-03-17T19:39:02.962593 | frame=43 | x=319 y=239 | area=85964
2026-03-17T19:39:03.489682 | frame=58 | x=319 y=239 | area=85102
2026-03-17T19:39:03.990896 | frame=58 | x=319 y=239 | area=85102
2026-03-17T19:39:04.518775 | frame=74 | x=319 y=239 | area=82961
2026-03-17T19:39:05.024356 | frame=74 | x=319 y=239 | area=82961
2026-03-17T19:39:05.546450 | frame=89 | x=319 y=239 | area=83084
2026-03-17T19:39:06.050585 | frame=89 | x=319 y=239 | area=83084
2026-03-17T19:39:06.576558 | frame=105 | x=319 y=239 | area=83374
2026-03-17T19:39:07.080706 | frame=105 | x=319 y=239 | area=83374
