2026-03-18 13:09:11,817 [INFO] processor: Process state registered: processor
2026-03-18 13:09:11,817 [INFO] processor: ProcessorProcess initializing...
2026-03-18 13:09:11,817 [INFO] processor: ProcessorProcess ready: color_lower=[0, 0, 150], color_upper=[100, 100, 255], min_area=500, max_area=50000
2026-03-18 13:09:11,817 [INFO] processor: Registered 8 command(s) with router: ['get_metrics', 'get_metric', 'reset_metrics', 'stats_snapshot', 'flush_stats', 'set_color_range', 'set_min_area', 'set_max_area']
2026-03-18 13:09:11,817 [INFO] processor: Process 'processor' initialized successfully
2026-03-18 13:09:17,737 [INFO] processor: Color range set: lower=[0, 0, 146], upper=[100, 100, 255]
2026-03-18 13:09:17,882 [INFO] processor: Color range set: lower=[0, 0, 135], upper=[100, 100, 255]
2026-03-18 13:09:17,882 [INFO] processor: Color range set: lower=[0, 0, 128], upper=[100, 100, 255]
2026-03-18 13:09:17,882 [INFO] processor: Color range set: lower=[0, 0, 116], upper=[100, 100, 255]
2026-03-18 13:09:17,882 [INFO] processor: Color range set: lower=[0, 0, 105], upper=[100, 100, 255]
2026-03-18 13:09:17,883 [INFO] processor: Color range set: lower=[0, 0, 94], upper=[100, 100, 255]
2026-03-18 13:09:17,883 [INFO] processor: Color range set: lower=[0, 0, 79], upper=[100, 100, 255]
2026-03-18 13:09:17,883 [INFO] processor: Color range set: lower=[0, 0, 68], upper=[100, 100, 255]
2026-03-18 13:09:17,884 [INFO] processor: Color range set: lower=[0, 0, 56], upper=[100, 100, 255]
2026-03-18 13:09:17,884 [INFO] processor: Color range set: lower=[0, 0, 45], upper=[100, 100, 255]
2026-03-18 13:09:17,884 [INFO] processor: Color range set: lower=[0, 0, 38], upper=[100, 100, 255]
2026-03-18 13:09:17,885 [INFO] processor: Color range set: lower=[0, 0, 26], upper=[100, 100, 255]
2026-03-18 13:09:17,885 [INFO] processor: Color range set: lower=[0, 0, 19], upper=[100, 100, 255]
2026-03-18 13:09:17,885 [INFO] processor: Color range set: lower=[0, 0, 11], upper=[100, 100, 255]
2026-03-18 13:09:17,885 [INFO] processor: Color range set: lower=[0, 0, 4], upper=[100, 100, 255]
2026-03-18 13:09:17,886 [INFO] processor: Color range set: lower=[0, 0, 0], upper=[100, 100, 255]
2026-03-18 13:13:31,840 [INFO] processor: Process state registered: processor
2026-03-18 13:13:31,840 [INFO] processor: ProcessorProcess initializing...
2026-03-18 13:13:31,841 [INFO] processor: ProcessorProcess ready: color_lower=[0, 0, 150], color_upper=[100, 100, 255], min_area=500, max_area=50000
2026-03-18 13:13:31,841 [INFO] processor: Registered 8 command(s) with router: ['get_metrics', 'get_metric', 'reset_metrics', 'stats_snapshot', 'flush_stats', 'set_color_range', 'set_min_area', 'set_max_area']
2026-03-18 13:13:31,841 [INFO] processor: Process 'processor' initialized successfully
2026-03-18 13:13:37,765 [INFO] processor: Color range set: lower=[0, 0, 146], upper=[100, 100, 255]
2026-03-18 13:13:37,908 [INFO] processor: Color range set: lower=[0, 0, 143], upper=[100, 100, 255]
2026-03-18 13:13:37,908 [INFO] processor: Color range set: lower=[0, 0, 139], upper=[100, 100, 255]
2026-03-18 13:13:37,908 [INFO] processor: Color range set: lower=[0, 0, 135], upper=[100, 100, 255]
2026-03-18 13:13:37,909 [INFO] processor: Color range set: lower=[0, 0, 131], upper=[100, 100, 255]
2026-03-18 13:13:37,909 [INFO] processor: Color range set: lower=[0, 0, 124], upper=[100, 100, 255]
2026-03-18 13:13:37,909 [INFO] processor: Color range set: lower=[0, 0, 120], upper=[100, 100, 255]
2026-03-18 13:13:37,909 [INFO] processor: Color range set: lower=[0, 0, 116], upper=[100, 100, 255]
2026-03-18 13:13:37,909 [INFO] processor: Color range set: lower=[0, 0, 113], upper=[100, 100, 255]
2026-03-18 13:13:37,910 [INFO] processor: Color range set: lower=[0, 0, 109], upper=[100, 100, 255]
2026-03-18 13:13:37,910 [INFO] processor: Color range set: lower=[0, 0, 105], upper=[100, 100, 255]
2026-03-18 13:13:37,910 [INFO] processor: Color range set: lower=[0, 0, 101], upper=[100, 100, 255]
2026-03-18 13:13:37,910 [INFO] processor: Color range set: lower=[0, 0, 98], upper=[100, 100, 255]
2026-03-18 13:13:37,925 [INFO] processor: Color range set: lower=[0, 0, 94], upper=[100, 100, 255]
2026-03-18 13:13:37,925 [INFO] processor: Color range set: lower=[0, 0, 90], upper=[100, 100, 255]
2026-03-18 13:13:37,926 [INFO] processor: Color range set: lower=[0, 0, 86], upper=[100, 100, 255]
2026-03-18 13:13:37,926 [INFO] processor: Color range set: lower=[0, 0, 83], upper=[100, 100, 255]
2026-03-18 13:13:37,926 [INFO] processor: Color range set: lower=[0, 0, 79], upper=[100, 100, 255]
2026-03-18 13:13:37,926 [INFO] processor: Color range set: lower=[0, 0, 75], upper=[100, 100, 255]
2026-03-18 13:13:37,926 [INFO] processor: Color range set: lower=[0, 0, 71], upper=[100, 100, 255]
2026-03-18 13:13:37,926 [INFO] processor: Color range set: lower=[0, 0, 68], upper=[100, 100, 255]
2026-03-18 13:13:37,926 [INFO] processor: Color range set: lower=[0, 0, 64], upper=[100, 100, 255]
2026-03-18 13:13:38,927 [INFO] processor: Color range set: lower=[0, 0, 60], upper=[100, 100, 255]
2026-03-18 13:13:38,927 [INFO] processor: Color range set: lower=[0, 0, 64], upper=[100, 100, 255]
2026-03-18 13:13:38,927 [INFO] processor: Color range set: lower=[0, 0, 68], upper=[100, 100, 255]
2026-03-18 13:13:38,927 [INFO] processor: Color range set: lower=[0, 0, 71], upper=[100, 100, 255]
2026-03-18 13:13:38,927 [INFO] processor: Color range set: lower=[0, 0, 75], upper=[100, 100, 255]
2026-03-18 14:53:03,403 [INFO] processor: Process state registered: processor
2026-03-18 14:53:03,403 [INFO] processor: ProcessorProcess initializing...
2026-03-18 14:53:03,403 [INFO] processor: ProcessorProcess ready: color_lower=[0, 0, 150], color_upper=[100, 100, 255], min_area=500, max_area=50000
2026-03-18 14:53:03,403 [INFO] processor: Registered 8 command(s) with router: ['get_metrics', 'get_metric', 'reset_metrics', 'stats_snapshot', 'flush_stats', 'set_color_range', 'set_min_area', 'set_max_area']
2026-03-18 14:53:03,403 [INFO] processor: Process 'processor' initialized successfully
2026-03-18 14:53:24,518 [INFO] processor: Color range set: lower=[0, 0, 146], upper=[100, 100, 255]
2026-03-18 14:53:24,660 [INFO] processor: Color range set: lower=[0, 0, 143], upper=[100, 100, 255]
2026-03-18 14:53:24,661 [INFO] processor: Color range set: lower=[0, 0, 139], upper=[100, 100, 255]
2026-03-18 14:53:24,661 [INFO] processor: Color range set: lower=[0, 0, 135], upper=[100, 100, 255]
2026-03-18 14:53:24,661 [INFO] processor: Color range set: lower=[0, 0, 131], upper=[100, 100, 255]
2026-03-18 14:53:24,661 [INFO] processor: Color range set: lower=[0, 0, 128], upper=[100, 100, 255]
2026-03-18 14:53:24,662 [INFO] processor: Color range set: lower=[0, 0, 124], upper=[100, 100, 255]
2026-03-18 14:53:24,673 [INFO] processor: Color range set: lower=[0, 0, 120], upper=[100, 100, 255]
2026-03-18 14:53:24,673 [INFO] processor: Color range set: lower=[0, 0, 116], upper=[100, 100, 255]
2026-03-18 14:53:24,674 [INFO] processor: Color range set: lower=[0, 0, 113], upper=[100, 100, 255]
2026-03-18 14:53:24,674 [INFO] processor: Color range set: lower=[0, 0, 109], upper=[100, 100, 255]
2026-03-18 14:53:24,674 [INFO] processor: Color range set: lower=[0, 0, 105], upper=[100, 100, 255]
2026-03-18 14:53:24,674 [INFO] processor: Color range set: lower=[0, 0, 101], upper=[100, 100, 255]
2026-03-18 14:53:24,674 [INFO] processor: Color range set: lower=[0, 0, 94], upper=[100, 100, 255]
2026-03-18 14:53:24,674 [INFO] processor: Color range set: lower=[0, 0, 90], upper=[100, 100, 255]
2026-03-18 14:53:24,675 [INFO] processor: Color range set: lower=[0, 0, 86], upper=[100, 100, 255]
2026-03-18 14:53:24,675 [INFO] processor: Color range set: lower=[0, 0, 83], upper=[100, 100, 255]
